datetime,storage_acft
2/25/38,11747185.9
2/26/38,11747185.9
2/27/38,11746255
2/28/38,11747185.9
3/1/38,11744404.5
3/2/38,11747185.9
3/3/38,11760207.3
3/4/38,11829026.4
3/5/38,11864366.8
3/6/38,11904361.8
3/7/38,11976263.7
3/8/38,12014795.4
3/9/38,12050515.9
3/10/38,12074956.8
3/11/38,12098456.8
3/12/38,12113500
3/13/38,12128543.2
3/14/38,12139852.8
3/15/38,12151252.3
3/16/38,12160750
3/17/38,12173100.5
3/18/38,12180696.3
3/19/38,12189254.6
3/20/38,12193997.7
3/21/38,12198752.3
3/22/38,12206348.1
3/23/38,12210151.9
3/24/38,12211102.8
3/25/38,12217747.7
3/26/38,12219649.5
3/27/38,12223453.2
3/28/38,12232000
3/29/38,12232000
3/30/38,12232000
3/31/38,12232000
4/1/38,12232000
4/2/38,12232000
4/3/38,12232000
4/4/38,12232000
4/5/38,12232000
4/6/38,12232000
4/7/38,12232000
4/8/38,12232000
4/9/38,12232000
4/10/38,12232000
4/11/38,12232000
4/12/38,12232000
4/13/38,12232000
4/14/38,12232000
4/15/38,12232000
4/16/38,12232000
4/17/38,12232000
4/18/38,12235803.7
4/19/38,12256700.9
4/20/38,12271892.6
4/21/38,12275696.3
4/22/38,12275696.3
4/23/38,12275696.3
4/24/38,12302299.1
4/25/38,12636308.1
4/26/38,12732337.2
4/27/38,12812854.7
4/28/38,12905000
4/29/38,13003000
4/30/38,13121795.2
5/1/38,13224759
5/2/38,13319795.2
5/3/38,13399000
5/4/38,13499000
5/5/38,13599000
5/6/38,13725250
5/7/38,13841802.5
5/8/38,13913197.5
5/9/38,13918302.5
5/10/38,14045802.5
5/11/38,14117297.5
5/12/38,14148202.5
5/13/38,14199702.5
5/14/38,14251202.5
5/15/38,14282095
5/16/38,14323397.5
5/17/38,14344205.1
5/18/38,14391000
5/19/38,14448205.1
5/20/38,14552205.1
5/21/38,14667002.6
5/22/38,14824502.6
5/23/38,14930402.6
5/24/38,15057697.4
5/25/38,15170052.6
5/26/38,15273839.5
5/27/38,15378797.4
5/28/38,15465202.6
5/29/38,15551594.7
5/30/38,15638000
5/31/38,15724705.3
6/1/38,15833705.3
6/2/38,15965000
6/3/38,16119002.7
6/4/38,16273305.4
6/5/38,16428694.6
6/6/38,16579605.5
6/7/38,16714000
6/8/38,16848844.5
6/9/38,16990794.4
6/10/38,17131026.1
6/11/38,17288656.7
6/12/38,17435846.1
6/13/38,17567677.7
6/14/38,17696436
6/15/38,17823816.3
6/16/38,17940816.3
6/17/38,18058746.3
6/18/38,18183818.8
6/19/38,18300426.5
6/20/38,18400397
6/21/38,18501002.9
6/22/38,18595793
