datetime,release volume_acft
11/20/34,7755.3719
11/21/34,8251.23967
11/22/34,8112.39669
11/23/34,7814.87603
11/24/34,7874.38017
11/25/34,8310.7438
11/26/34,8171.90083
11/27/34,8489.2562
11/28/34,8310.7438
11/29/34,8548.76033
11/30/34,8548.76033
12/1/34,8548.76033
12/2/34,8608.26446
12/3/34,8727.27273
12/4/34,8786.77686
12/5/34,8548.76033
12/6/34,8667.7686
12/7/34,8786.77686
12/8/34,8667.7686
12/9/34,8310.7438
12/10/34,8251.23967
12/11/34,7874.38017
12/12/34,7398.34711
12/13/34,7100.82645
12/14/34,7219.83471
12/15/34,7219.83471
12/16/34,7695.86777
12/17/34,8667.7686
12/18/34,8171.90083
12/19/34,8786.77686
12/20/34,9104.13223
12/21/34,9857.85124
12/22/34,10115.7025
12/23/34,9798.34711
12/24/34,9917.35537
12/25/34,10234.7107
12/26/34,10314.0496
12/27/34,9798.34711
12/28/34,9480.99174
12/29/34,9421.4876
12/30/34,9540.49587
12/31/34,9600
1/1/35,9024.79339
1/2/35,9024.79339
1/3/35,9024.79339
1/4/35,8925.61983
1/5/35,9044.6281
1/6/35,9163.63636
1/7/35,9282.64463
1/8/35,8885.95041
1/9/35,8628.09917
1/10/35,8608.26446
1/11/35,8211.57025
1/12/35,8687.60331
1/13/35,9044.6281
1/14/35,9024.79339
1/15/35,11444.6281
1/16/35,14439.6694
1/17/35,13844.6281
1/18/35,12099.1736
1/19/35,11920.6612
1/20/35,12892.562
1/21/35,12555.3719
1/22/35,12000
1/23/35,11067.7686
1/24/35,10197.0248
1/25/35,9957.02479
1/26/35,9203.30579
1/27/35,8152.06612
1/28/35,6902.47934
1/29/35,6426.44628
1/30/35,6307.43802
1/31/35,6366.94215
2/1/35,5057.85124
2/2/35,6287.60331
2/3/35,4363.63636
2/4/35,10135.5372
2/5/35,10413.2231
2/6/35,9877.68595
2/7/35,8290.90909
2/8/35,8707.43802
2/9/35,6247.93388
2/10/35,0
2/11/35,366.94215
2/12/35,733.8843
2/13/35,1269.42149
2/14/35,4919.00826
2/15/35,5930.57851
2/16/35,6128.92562
2/17/35,8132.2314
2/18/35,8251.23967
2/19/35,8290.90909
2/20/35,8152.06612
2/21/35,7001.65289
2/22/35,10016.5289
2/23/35,10095.8678
2/24/35,10115.7025
2/25/35,10115.7025
2/26/35,10115.7025
2/27/35,10690.9091
2/28/35,12000
3/1/35,13685.9504
3/2/35,14241.3223
3/3/35,14241.3223
3/4/35,13804.9587
3/5/35,12297.5207
3/6/35,11206.6116
3/7/35,11761.9835
3/8/35,13586.7769
3/9/35,14042.9752
3/10/35,13943.8017
3/11/35,13904.1322
3/12/35,13864.4628
3/13/35,13785.124
3/14/35,13725.6198
3/15/35,13646.281
3/16/35,13586.7769
3/17/35,13487.6033
3/18/35,13884.2975
3/19/35,14142.1488
3/20/35,14102.4793
3/21/35,14142.1488
3/22/35,14161.9835
3/23/35,14181.8182
3/24/35,14181.8182
3/25/35,14221.4876
3/26/35,14201.6529
3/27/35,14181.8182
3/28/35,14161.9835
3/29/35,14519.0083
3/30/35,15252.8926
3/31/35,15213.2231
4/1/35,15133.8843
4/2/35,15133.8843
4/3/35,15133.8843
4/4/35,15213.2231
4/5/35,14757.0248
4/6/35,14181.8182
4/7/35,14439.6694
4/8/35,14618.1818
4/9/35,14082.6446
4/10/35,12773.5537
4/11/35,13586.7769
4/12/35,14400
4/13/35,14300.8265
4/14/35,14796.6942
4/15/35,14677.686
4/16/35,13864.4628
4/17/35,13884.2975
4/18/35,13943.8017
4/19/35,14400
4/20/35,15074.3802
4/21/35,15153.719
4/22/35,14995.0413
4/23/35,14479.3388
4/24/35,13983.4711
4/25/35,14221.4876
4/26/35,14221.4876
4/27/35,14023.1405
4/28/35,14221.4876
4/29/35,14161.9835
4/30/35,13864.4628
5/1/35,12733.8843
5/2/35,13824.7934
5/3/35,14042.9752
5/4/35,14499.1736
5/5/35,14677.686
5/6/35,14776.8595
5/7/35,14836.3636
5/8/35,14955.3719
5/9/35,14915.7025
5/10/35,14479.3388
5/11/35,14419.8347
5/12/35,14479.3388
5/13/35,14062.8099
5/14/35,13051.2397
5/15/35,13110.7438
5/16/35,13150.4132
5/17/35,13190.0826
5/18/35,14241.3223
5/19/35,15014.876
5/20/35,14677.686
5/21/35,13884.2975
5/22/35,16502.4793
5/23/35,22671.0744
5/24/35,26955.3719
5/25/35,28125.6198
5/26/35,28224.7934
5/27/35,28760.3306
5/28/35,28998.3471
5/29/35,29196.6942
5/30/35,29335.5372
5/31/35,29553.719
6/1/35,29752.0661
6/2/35,30148.7603
6/3/35,30347.1074
6/4/35,30743.8017
6/5/35,31041.3223
6/6/35,31239.6694
6/7/35,31438.0165
6/8/35,31636.3636
6/9/35,31933.8843
6/10/35,32231.405
6/11/35,32429.7521
6/12/35,33044.6281
6/13/35,33223.1405
6/14/35,33619.8347
6/15/35,33917.3554
6/16/35,34314.0496
6/17/35,34909.0909
6/18/35,35008.2645
6/19/35,35504.1322
6/20/35,35900.8265
6/21/35,36396.6942
6/22/35,36694.2149
6/23/35,36991.7355
6/24/35,33024.7934
6/25/35,29157.0248
6/26/35,29256.1984
6/27/35,29355.3719
6/28/35,29355.3719
6/29/35,29454.5455
6/30/35,29553.719
7/1/35,29553.719
7/2/35,29652.8926
7/3/35,29752.0661
7/4/35,29851.2397
7/5/35,29851.2397
7/6/35,29950.4132
7/7/35,29950.4132
7/8/35,30049.5868
7/9/35,24991.7355
7/10/35,20231.405
7/11/35,20231.405
7/12/35,20290.9091
7/13/35,20290.9091
7/14/35,20310.7438
7/15/35,20310.7438
7/16/35,20330.5785
7/17/35,20330.5785
7/18/35,20350.4132
7/19/35,20350.4132
7/20/35,20370.2479
7/21/35,20370.2479
7/22/35,20370.2479
7/23/35,20390.0826
7/24/35,20390.0826
7/25/35,20390.0826
7/26/35,20390.0826
7/27/35,20390.0826
7/28/35,20390.0826
7/29/35,20390.0826
7/30/35,20390.0826
7/31/35,20390.0826
8/1/35,20390.0826
8/2/35,20390.0826
8/3/35,20390.0826
8/4/35,20390.0826
8/5/35,20390.0826
8/6/35,20390.0826
8/7/35,20390.0826
8/8/35,20390.0826
8/9/35,20390.0826
8/10/35,20390.0826
8/11/35,20390.0826
8/12/35,20370.2479
8/13/35,20330.5785
8/14/35,20330.5785
8/15/35,20231.405
8/16/35,20231.405
8/17/35,20231.405
8/18/35,20231.405
8/19/35,20231.405
8/20/35,20231.405
8/21/35,20330.5785
8/22/35,20330.5785
8/23/35,20330.5785
8/24/35,20330.5785
8/25/35,20330.5785
8/26/35,20330.5785
8/27/35,20330.5785
8/28/35,20330.5785
8/29/35,20330.5785
8/30/35,20330.5785
8/31/35,20231.405
9/1/35,20231.405
9/2/35,20231.405
9/3/35,20231.405
9/4/35,20231.405
9/5/35,20231.405
9/6/35,20231.405
9/7/35,20231.405
9/8/35,20092.562
9/9/35,20132.2314
9/10/35,20132.2314
9/11/35,20132.2314
9/12/35,20132.2314
9/13/35,20132.2314
9/14/35,20033.0579
9/15/35,20033.0579
9/16/35,20033.0579
9/17/35,20033.0579
9/18/35,20033.0579
9/19/35,20033.0579
9/20/35,20033.0579
9/21/35,20033.0579
9/22/35,20033.0579
9/23/35,20033.0579
9/24/35,20132.2314
9/25/35,19933.8843
9/26/35,19933.8843
9/27/35,19933.8843
9/28/35,19933.8843
9/29/35,19933.8843
9/30/35,19933.8843
10/1/35,19933.8843
10/2/35,19933.8843
10/3/35,19933.8843
10/4/35,19933.8843
10/5/35,19933.8843
10/6/35,19933.8843
10/7/35,19933.8843
10/8/35,19933.8843
10/9/35,19933.8843
10/10/35,19933.8843
10/11/35,19933.8843
10/12/35,19834.7107
10/13/35,19834.7107
10/14/35,19834.7107
10/15/35,19785.124
10/16/35,19735.5372
10/17/35,19735.5372
10/18/35,19735.5372
10/19/35,19735.5372
10/20/35,19685.9504
10/21/35,19685.9504
10/22/35,19636.3636
10/23/35,19636.3636
10/24/35,19636.3636
10/25/35,19636.3636
10/26/35,19636.3636
10/27/35,19586.7769
10/28/35,19586.7769
10/29/35,19586.7769
10/30/35,19537.1901
10/31/35,19555.0413
11/1/35,19537.1901
11/2/35,19537.1901
11/3/35,19537.1901
11/4/35,19537.1901
11/5/35,19487.6033
11/6/35,19487.6033
11/7/35,19487.6033
11/8/35,19487.6033
11/9/35,19487.6033
11/10/35,19487.6033
11/11/35,19487.6033
11/12/35,19487.6033
11/13/35,19438.0165
11/14/35,19438.0165
11/15/35,19388.4298
11/16/35,19388.4298
11/17/35,19388.4298
11/18/35,19388.4298
11/19/35,19338.843
11/20/35,19338.843
11/21/35,19338.843
11/22/35,19338.843
11/23/35,19289.2562
11/24/35,19289.2562
11/25/35,19289.2562
11/26/35,19289.2562
11/27/35,19289.2562
11/28/35,19289.2562
11/29/35,19289.2562
11/30/35,12337.1901
12/1/35,9520.66116
12/2/35,9520.66116
12/3/35,9520.66116
12/4/35,9520.66116
12/5/35,9520.66116
12/6/35,9520.66116
12/7/35,9520.66116
12/8/35,9520.66116
12/9/35,9520.66116
12/10/35,9520.66116
12/11/35,9520.66116
12/12/35,9520.66116
12/13/35,9520.66116
12/14/35,9520.66116
12/15/35,9520.66116
12/16/35,9520.66116
12/17/35,9570.24793
12/18/35,9570.24793
12/19/35,9619.83471
12/20/35,9619.83471
12/21/35,9619.83471
12/22/35,9619.83471
12/23/35,9619.83471
12/24/35,9619.83471
12/25/35,9619.83471
12/26/35,9619.83471
12/27/35,9570.24793
12/28/35,9570.24793
12/29/35,9570.24793
12/30/35,9619.83471
12/31/35,9619.83471
1/1/36,9619.83471
1/2/36,9619.83471
1/3/36,9619.83471
1/4/36,9520.66116
1/5/36,9520.66116
1/6/36,9520.66116
1/7/36,9520.66116
1/8/36,9520.66116
1/9/36,9520.66116
1/10/36,9520.66116
1/11/36,9520.66116
1/12/36,9520.66116
1/13/36,9520.66116
1/14/36,9520.66116
1/15/36,9520.66116
1/16/36,9520.66116
1/17/36,9520.66116
1/18/36,9520.66116
1/19/36,9520.66116
1/20/36,9520.66116
1/21/36,9520.66116
1/22/36,9520.66116
1/23/36,9520.66116
1/24/36,9520.66116
1/25/36,9520.66116
1/26/36,9520.66116
1/27/36,9520.66116
1/28/36,9520.66116
1/29/36,9570.24793
1/30/36,9570.24793
1/31/36,9570.24793
2/1/36,9570.24793
2/2/36,9570.24793
2/3/36,9570.24793
2/4/36,9570.24793
2/5/36,9570.24793
2/6/36,9570.24793
2/7/36,9570.24793
2/8/36,9570.24793
2/9/36,9570.24793
2/10/36,9570.24793
2/11/36,10621.4876
2/12/36,12148.7603
2/13/36,11702.4793
2/14/36,11702.4793
2/15/36,11880.9917
2/16/36,12396.6942
2/17/36,12396.6942
2/18/36,12396.6942
2/19/36,12396.6942
2/20/36,11950.4132
2/21/36,11504.1322
2/22/36,11087.6033
2/23/36,10909.0909
2/24/36,11057.8512
2/25/36,11057.8512
2/26/36,10988.4298
2/27/36,11256.1984
2/28/36,11563.6364
2/29/36,12049.5868
3/1/36,12396.6942
3/2/36,12396.6942
3/3/36,12932.2314
3/4/36,13933.8843
3/5/36,14895.8678
3/6/36,16264.4628
3/7/36,17603.3058
3/8/36,17603.3058
3/9/36,18545.4546
3/10/36,19140.4959
3/11/36,19487.6033
3/12/36,19636.3636
3/13/36,19636.3636
3/14/36,19537.1901
3/15/36,19537.1901
3/16/36,19537.1901
3/17/36,19537.1901
3/18/36,19636.3636
3/19/36,19636.3636
3/20/36,19636.3636
3/21/36,19636.3636
3/22/36,19636.3636
3/23/36,19636.3636
3/24/36,19636.3636
3/25/36,19636.3636
3/26/36,19636.3636
3/27/36,19636.3636
3/28/36,19636.3636
3/29/36,19636.3636
3/30/36,19636.3636
3/31/36,19636.3636
4/1/36,19537.1901
4/2/36,19537.1901
4/3/36,18942.1488
4/4/36,19586.7769
4/5/36,19537.1901
4/6/36,19537.1901
4/7/36,19537.1901
4/8/36,19537.1901
4/9/36,19537.1901
4/10/36,19537.1901
4/11/36,19537.1901
4/12/36,19537.1901
4/13/36,19537.1901
4/14/36,19537.1901
4/15/36,19537.1901
4/16/36,19537.1901
4/17/36,19537.1901
4/18/36,19537.1901
4/19/36,19537.1901
4/20/36,19537.1901
4/21/36,19537.1901
4/22/36,19636.3636
4/23/36,19735.5372
4/24/36,19695.8678
4/25/36,19834.7107
4/26/36,19933.8843
4/27/36,20528.9256
4/28/36,21520.6612
4/29/36,21619.8347
4/30/36,21719.0083
5/1/36,16264.4628
5/2/36,18842.9752
5/3/36,19933.8843
5/4/36,20033.0579
5/5/36,20231.405
5/6/36,20132.2314
5/7/36,20033.0579
5/8/36,19884.2975
5/9/36,19834.7107
5/10/36,20033.0579
5/11/36,19219.8347
5/12/36,17553.719
5/13/36,18406.6116
5/14/36,18297.5207
5/15/36,18545.4546
5/16/36,17355.3719
5/17/36,17454.5455
5/18/36,17553.719
5/19/36,18644.6281
5/20/36,18347.1074
5/21/36,16780.1653
5/22/36,16561.9835
5/23/36,16561.9835
5/24/36,17752.0661
5/25/36,16661.157
5/26/36,17157.0248
5/27/36,17454.5455
5/28/36,18297.5207
5/29/36,18842.9752
5/30/36,5067.7686
5/31/36,19219.8347
6/1/36,18942.1488
6/2/36,19041.3223
6/3/36,19140.4959
6/4/36,19338.843
6/5/36,19438.0165
6/6/36,19338.843
6/7/36,18942.1488
6/8/36,19041.3223
6/9/36,18892.562
6/10/36,18942.1488
6/11/36,18892.562
6/12/36,17970.2479
6/13/36,19289.2562
6/14/36,20033.0579
6/15/36,20033.0579
6/16/36,20033.0579
6/17/36,20776.8595
6/18/36,21619.8347
6/19/36,21520.6612
6/20/36,21520.6612
6/21/36,21520.6612
6/22/36,21758.6777
6/23/36,22115.7025
6/24/36,22611.5703
6/25/36,22909.0909
6/26/36,22909.0909
6/27/36,22909.0909
6/28/36,22958.6777
6/29/36,23008.2645
6/30/36,23008.2645
7/1/36,23008.2645
7/2/36,23008.2645
7/3/36,22909.0909
7/4/36,22809.9174
7/5/36,22809.9174
7/6/36,22809.9174
7/7/36,22809.9174
7/8/36,22809.9174
7/9/36,23008.2645
7/10/36,22809.9174
7/11/36,22809.9174
7/12/36,22809.9174
7/13/36,22809.9174
7/14/36,22809.9174
7/15/36,22532.2314
7/16/36,22413.2231
7/17/36,22462.8099
7/18/36,22462.8099
7/19/36,22462.8099
7/20/36,22462.8099
7/21/36,22462.8099
7/22/36,22462.8099
7/23/36,22314.0496
