"","evaporation_m","date"
"1",0.0000352178663015366,2007-01-01
"2",0.0000309104304760695,2007-01-02
"3",0.0000337848514318466,2007-01-03
"4",0.0000434890948235989,2007-01-04
"5",0.0000457621440291405,2007-01-05
"6",0.0000254224557429552,2007-01-06
"7",0.0000301725156605244,2007-01-07
"8",0.000027597900480032,2007-01-08
"9",0.0000404875203967094,2007-01-09
"10",0.00004390037804842,2007-01-10
"11",0.0000520820803940296,2007-01-11
"12",0.0000222684927284718,2007-01-12
"13",0.000012138519436121,2007-01-13
"14",0.00000711882021278143,2007-01-14
"15",0.00000841992162168026,2007-01-15
"16",0.0000113107301294804,2007-01-16
"17",0.0000113691100850701,2007-01-17
"18",0.0000161284785717726,2007-01-18
"19",0.0000189622193574905,2007-01-19
"20",0.0000185068976134062,2007-01-20
"21",0.0000128136901184916,2007-01-21
"22",0.0000163861084729433,2007-01-22
"23",0.000023953003808856,2007-01-23
"24",0.0000285848695784807,2007-01-24
"25",0.0000264588017016649,2007-01-25
"26",0.0000217879749834538,2007-01-26
"27",0.0000174185186624527,2007-01-27
"28",0.0000321306847035885,2007-01-28
"29",0.0000379112847149372,2007-01-29
"30",0.0000410634465515614,2007-01-30
"31",0.0000515937171876431,2007-01-31
"32",0.0000400859341025353,2007-02-01
"33",0.0000299896690994501,2007-02-02
"34",0.000034596711397171,2007-02-03
"35",0.000051012571901083,2007-02-04
"36",0.0000527396239340305,2007-02-05
"37",0.0000563335046172142,2007-02-06
"38",0.0000658461600542068,2007-02-07
"39",0.0000674276128411293,2007-02-08
"40",0.0000616308599710464,2007-02-09
"41",0.0000530917048454285,2007-02-10
"42",0.0000582683719694614,2007-02-11
"43",0.0000436796881258488,2007-02-12
"44",0.0000367247611284256,2007-02-13
"45",0.0000588329769670963,2007-02-14
"46",0.0000534248650074005,2007-02-15
"47",0.0000548784472048283,2007-02-16
"48",0.0000542860738933086,2007-02-17
"49",0.0000572985075414181,2007-02-18
"50",0.0000657703727483749,2007-02-19
"51",0.0000654020980000496,2007-02-20
"52",0.0000540094003081322,2007-02-21
"53",0.0000661446526646614,2007-02-22
"54",0.0000328871458768845,2007-02-23
"55",0.0000424705184996128,2007-02-24
"56",0.0000504730530083179,2007-02-25
"57",0.0000559118650853634,2007-02-26
"58",0.000079472616314888,2007-02-27
"59",0.0000250791441649199,2007-02-28
"60",0.0000390126928687096,2007-03-01
"61",0.0000468796379864216,2007-03-02
"62",0.0000516199357807636,2007-03-03
"63",0.0000669167786836624,2007-03-04
"64",0.0000896344035863876,2007-03-05
"65",0.0000793413370847702,2007-03-06
"66",0.0000624614246189594,2007-03-07
"67",0.0000626011043787003,2007-03-08
"68",0.0000593299567699432,2007-03-09
"69",0.000063667356967926,2007-03-10
"70",0.0000608073733747005,2007-03-11
"71",0.0000537530519068241,2007-03-12
"72",0.0000514764413237572,2007-03-13
"73",0.000050341036170721,2007-03-14
"74",0.0000533555895090103,2007-03-15
"75",0.000049493346363306,2007-03-16
"76",0.0000472863465547562,2007-03-17
"77",0.0000479033812880516,2007-03-18
"78",0.0000434057302772999,2007-03-19
"79",0.0000433880016207695,2007-03-20
"80",0.0000364052131772041,2007-03-21
"81",0.0000418380424380302,2007-03-22
"82",0.0000419911481440067,2007-03-23
"83",0.0000377301312983036,2007-03-24
"84",0.0000352232046425343,2007-03-25
"85",0.0000412566214799881,2007-03-26
"86",0.0000410788282752037,2007-03-27
"87",0.000033991239964962,2007-03-28
"88",0.0000420994572341442,2007-03-29
"89",0.0000369928032159805,2007-03-30
"90",0.0000363447181880474,2007-03-31
"91",0.0000399957895278931,2007-04-01
"92",0.0000387233272194862,2007-04-02
"93",0.0000360348038375378,2007-04-03
"94",0.0000357434712350369,2007-04-04
"95",0.0000319696329534054,2007-04-05
"96",0.0000339961536228657,2007-04-06
"97",0.0000310690309852362,2007-04-07
"98",0.0000280701909214258,2007-04-08
"99",0.0000280808713287115,2007-04-09
"100",0.0000295830592513084,2007-04-10
"101",0.0000249757375568151,2007-04-11
"102",0.0000193006601184607,2007-04-12
"103",0.0000265699774026871,2007-04-13
"104",0.0000236542951315641,2007-04-14
"105",0.0000237251296639442,2007-04-15
"106",0.0000391823723912239,2007-04-16
"107",0.000068366177380085,2007-04-17
"108",0.0000760271176695824,2007-04-18
"109",0.0000520115792751312,2007-04-19
"110",0.0000552411414682865,2007-04-20
"111",0.0000506727993488312,2007-04-21
