"","evaporation_m","date"
"142",0.0000154255330562592,2017-05-22
"143",0.0000147975198924541,2017-05-23
"144",0.0000159209072589874,2017-05-24
"145",0.000015797846019268,2017-05-25
"146",0.0000139234252274036,2017-05-26
"147",0.0000123975425958633,2017-05-27
"148",0.0000120432749390602,2017-05-28
"149",0.000011457797139883,2017-05-29
"150",0.0000113107562065125,2017-05-30
"151",0.0000120112523436546,2017-05-31
"152",0.0000108333006501198,2017-06-01
"153",0.00000949527323246002,2017-06-02
"154",0.00000983475148677826,2017-06-03
"155",0.0000104929879307747,2017-06-04
"156",0.00000970481708645821,2017-06-05
"157",0.0000095132403075695,2017-06-06
"158",0.00000951210036873818,2017-06-07
"159",0.00000930187851190567,2017-06-08
"160",0.00000886854529380798,2017-06-09
"161",0.00000772769749164581,2017-06-10
"162",0.00000798246264457703,2017-06-11
"163",0.00000705632939934731,2017-06-12
"164",0.00000557397305965424,2017-06-13
"165",0.00000578957796096802,2017-06-14
"166",0.00000638221949338913,2017-06-15
"167",0.00000607644766569138,2017-06-16
"168",0.0000061492845416069,2017-06-17
"169",0.00000609200447797775,2017-06-18
"170",0.00000578969717025757,2017-06-19
"171",0.00000579173862934113,2017-06-20
"172",0.00000621339678764343,2017-06-21
"173",0.00000549684464931488,2017-06-22
"174",0.00000536442548036575,2017-06-23
"175",0.00000514981150627136,2017-06-24
"176",0.00000643130019307136,2017-06-25
"177",0.00000669366866350174,2017-06-26
"178",0.00000631843507289887,2017-06-27
"179",0.00000551426410675049,2017-06-28
"180",0.00000556708127260208,2017-06-29
"181",0.00000524827092885971,2017-06-30
"182",0.00000509130954742432,2017-07-01
"183",0.00000522277504205704,2017-07-02
"184",0.00000500599294900894,2017-07-03
"185",0.00000457333773374557,2017-07-04
"186",0.00000465252250432968,2017-07-05
"187",0.00000431616976857185,2017-07-06
"188",0.00000598694384098053,2017-07-07
"189",0.00000741773843765259,2017-07-08
"190",0.0000137316808104515,2017-07-09
"191",0.0000249590054154396,2017-07-10
"192",0.0000270224437117577,2017-07-11
"193",0.0000300829634070396,2017-07-12
"194",0.0000399358384311199,2017-07-13
"195",0.000037877656519413,2017-07-14
"196",0.0000348539873957634,2017-07-15
"197",0.0000319338738918304,2017-07-16
"198",0.0000359448567032814,2017-07-17
"199",0.0000409152656793594,2017-07-18
"200",0.000036159336566925,2017-07-19
"201",0.0000465977936983109,2017-07-20
"202",0.0000438646152615547,2017-07-21
"203",0.0000429374352097511,2017-07-22
"204",0.0000459055155515671,2017-07-23
"205",0.0000729195475578308,2017-07-24
"206",0.000215183570981026,2017-07-25
"207",0.000261047601699829,2017-07-26
"208",0.000296330541372299,2017-07-27
"209",0.000270209610462189,2017-07-28
"210",0.000227594256401062,2017-07-29
"211",0.000245178863406181,2017-07-30
"212",0.00025601714849472,2017-07-31
"213",0.000221585378050804,2017-08-01
"214",0.000215149253606796,2017-08-02
"215",0.000233120977878571,2017-08-03
"216",0.000212652072310448,2017-08-04
"217",0.000333121329545975,2017-08-05
"218",0.000254034459590912,2017-08-06
"219",0.00027326700091362,2017-08-07
"220",0.000255804717540741,2017-08-08
"221",0.000226933598518372,2017-08-09
"222",0.000207789659500122,2017-08-10
"223",0.000169946536421776,2017-08-11
"224",0.000164324969053268,2017-08-12
"225",0.000166216105222702,2017-08-13
"226",0.000150800198316574,2017-08-14
"227",0.000125674068927765,2017-08-15
"228",0.000105800345540047,2017-08-16
"229",0.0000937410816550255,2017-08-17
"230",0.0000939114913344383,2017-08-18
"231",0.0000903187245130539,2017-08-19
"232",0.000086310401558876,2017-08-20
"233",0.0000733228176832199,2017-08-21
"234",0.0000811484754085541,2017-08-22
"235",0.000080772265791893,2017-08-23
"236",0.000105135023593903,2017-08-24
"237",0.000116269916296005,2017-08-25
"238",0.000114983983337879,2017-08-26
"239",0.0000882236510515213,2017-08-27
"240",0.000100355394184589,2017-08-28
"241",0.000101564757525921,2017-08-29
"242",0.000165639132261276,2017-08-30
"243",0.000145700439810753,2017-08-31
"244",0.000164937540888786,2017-09-01
"245",0.000156180530786514,2017-09-02
"246",0.000130033478140831,2017-09-03
"247",0.000123649887740612,2017-09-04
"248",0.000120750457048416,2017-09-05
"249",0.000124186396598816,2017-09-06
"250",0.000118455730378628,2017-09-07
"251",0.000131826892495155,2017-09-08
"252",0.00019226598739624,2017-09-09
"253",0.000180530190467834,2017-09-10
"254",0.000188259661197662,2017-09-11
"255",0.000181312441825867,2017-09-12
"256",0.000165391504764557,2017-09-13
"257",0.000159893095493317,2017-09-14
"258",0.000132560163736343,2017-09-15
"259",0.000124544218182564,2017-09-16
"260",0.000108265154063702,2017-09-17
"261",0.000108150698244572,2017-09-18
"262",0.00010482157766819,2017-09-19
"263",0.0000929430425167084,2017-09-20
"264",0.00010153091698885,2017-09-21
"265",0.0000754973366856575,2017-09-22
"266",0.0000580346658825874,2017-09-23
"267",0.0000663838535547256,2017-09-24
"268",0.0000601806640625,2017-09-25
"269",0.0000597554817795753,2017-09-26
"270",0.0000601098835468292,2017-09-27
"271",0.0000538213104009628,2017-09-28
"272",0.0000481487736105919,2017-09-29
"273",0.0000547610446810722,2017-09-30
"274",0.0000480934754014015,2017-10-01
"275",0.0000462602525949478,2017-10-02
"276",0.000046268492937088,2017-10-03
"277",0.0000403690859675407,2017-10-04
"278",0.0000353653468191624,2017-10-05
"279",0.0000388143248856068,2017-10-06
"280",0.000032207116484642,2017-10-07
"281",0.0000336453840136528,2017-10-08
"282",0.0000433558076620102,2017-10-09
"283",0.0000298530533909798,2017-10-10
"284",0.0000322168208658695,2017-10-11
"285",0.0000265164151787758,2017-10-12
"286",0.0000242194011807442,2017-10-13
"287",0.0000271101631224155,2017-10-14
"288",0.0000238025560975075,2017-10-15
"289",0.0000206318981945515,2017-10-16
"290",0.0000214698724448681,2017-10-17
"291",0.0000218243524432182,2017-10-18
"292",0.0000256763324141502,2017-10-19
"293",0.0000207264870405197,2017-10-20
"294",0.0000192192383110523,2017-10-21
"295",0.0000180574059486389,2017-10-22
"296",0.0000193985551595688,2017-10-23
"297",0.0000210030898451805,2017-10-24
"298",0.0000158543884754181,2017-10-25
"299",0.0000157189220190048,2017-10-26
"300",0.0000166760236024857,2017-10-27
"301",0.0000162005163729191,2017-10-28
"302",0.0000118156522512436,2017-10-29
"303",0.000013368621468544,2017-10-30
"304",0.0000140101239085197,2017-10-31
"305",0.00000770000368356705,2017-11-01
"306",0.0000102173294872046,2017-11-02
"307",0.0000106514655053616,2017-11-03
"308",0.0000131150335073471,2017-11-04
"309",0.00000729222223162651,2017-11-05
"310",0.00000922800600528717,2017-11-06
"311",0.00000887639448046684,2017-11-07
"312",0.00000929923541843891,2017-11-08
"313",0.00000991668924689293,2017-11-09
"314",0.00000924412161111832,2017-11-10
"315",0.00000743245333433151,2017-11-11
"316",0.00000944609940052033,2017-11-12
"317",0.0000111709833145142,2017-11-13
"318",0.00000803999975323677,2017-11-14
"319",0.00000858568400144577,2017-11-15
"320",0.00000985357910394669,2017-11-16
"321",0.0000104486085474491,2017-11-17
"322",0.0000092712789773941,2017-11-18
"323",0.00000807958096265793,2017-11-19
"324",0.0000103521421551704,2017-11-20
"325",0.0000122538655996323,2017-11-21
"326",0.00000530029833316803,2017-11-22
"327",0.00000300151854753494,2017-11-23
"328",0.00000873434171080589,2017-11-24
"329",0.0000100656971335411,2017-11-25
"330",0.0000124259144067764,2017-11-26
"331",0.0000142607018351555,2017-11-27
"332",0.0000118784308433533,2017-11-28
"333",0.00000901925563812256,2017-11-29
"334",0.00000977392494678497,2017-11-30
"335",0.00000993711873888969,2017-12-01
"336",0.00000939641147851944,2017-12-02
"337",0.000012656956911087,2017-12-03
"338",0.00000942885875701904,2017-12-04
"339",0.0000123970955610275,2017-12-05
"340",0.0000159274041652679,2017-12-06
"341",0.0000221136622130871,2017-12-07
"342",0.0000274542011320591,2017-12-08
"343",0.0000266182012856007,2017-12-09
"344",0.0000306122973561287,2017-12-10
"345",0.000024319726973772,2017-12-11
"346",0.0000284585617482662,2017-12-12
"347",0.000036633275449276,2017-12-13
"348",0.0000480628311634064,2017-12-14
"349",0.0000282346941530705,2017-12-15
"350",0.000036529403179884,2017-12-16
"351",0.0000306806303560734,2017-12-17
"352",0.0000238847360014915,2017-12-18
"353",0.0000253418944776058,2017-12-19
"354",0.0000463472753763199,2017-12-20
"355",0.0000405915342271328,2017-12-21
"356",0.0000152531564235687,2017-12-22
"357",0.0000236824546009302,2017-12-23
"358",0.0000390249080955982,2017-12-24
"359",0.0000497492328286171,2017-12-25
"360",0.0000371833443641663,2017-12-26
"361",0.0000262472368776798,2017-12-27
"362",0.0000256335586309433,2017-12-28
"363",0.000026904933154583,2017-12-29
"364",0.0000304909907281399,2017-12-30
"365",0.0000264358762651682,2017-12-31
