"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"177",2020-09-01,247.144066112996,4752153.3008453,57401624.7861204,42470440.335079
"178",2020-10-01,50.7713115544025,3856281.78381328,14844286.9898365,14857755.9928807
"179",2020-11-01,192.56804707975,2471624.49268098,6016079.90525583,6072060.23518295
"180",2020-12-01,237.291280530833,2138389.80696434,3985794.87955252,4000679.07732487
"181",2021-01-01,262.554892942339,2250195.34451152,1108390.14534212,372891.015466
"182",2021-02-01,184.637422297018,1852746.98188034,1040007.56027346,285512.22801354
"183",2021-03-01,194.888280058713,2501095.0285754,998296.855892351,454748.87082681
"184",2021-04-01,488.675499245679,3579903.68926479,139393473.460737,63653485.7027983
"185",2021-05-01,473.464782381398,3983876.52595736,192481566.011902,107617023.172136
"186",2021-06-01,212.01436892865,5435518.01050151,159630915.82437,87538855.4819742
"187",2021-07-01,446.658690791759,5958423.55270845,127342572.378764,76969344.0138258
"188",2021-08-01,286.917518958542,6007393.10687112,63089613.0093997,47100886.8842399
"189",2021-09-01,147.340653065793,4781658.01009365,35533891.3774845,35540912.6860974
"190",2021-10-01,160.164296455001,3222791.02585645,9474365.00893323,9485601.26879283
"191",2021-11-01,192.361452816392,2529795.7315035,4155072.20843704,4366270.47358021
"192",2021-12-01,203.784410324267,2107413.24513363,6518174.28133025,5982063.32462841
"193",2022-01-01,349.729650255709,2296269.67380572,1790441.81463474,1105524.95687669
"194",2022-02-01,38.2156707175569,1918061.3165399,2996342.25271411,2380551.12187468
"195",2022-03-01,553.473057520423,2600597.21219356,2093869.16852973,1464529.00118928
"196",2022-04-01,481.538269815993,3111065.07532496,17969266.4992035,17796910.5131273
"197",2022-05-01,429.026299298322,4071407.41673321,291675003.678913,135300975.23231
"198",2022-06-01,362.777191306787,5448432.08406071,260589892.212528,129889984.689206
"199",2022-07-01,206.662768331026,5919677.99835504,162316051.87887,98791986.6717519
"200",2022-08-01,313.446057507636,6003213.95646546,95927821.6032084,54958765.7477137
"201",2022-09-01,117.98982972097,4627721.16799292,72458571.4720942,50287687.2153916
"202",2022-10-01,498.783495948466,3371200.89198229,63368210.0186079,44552362.7437323
"203",2022-11-01,382.873325664694,2817127.97734149,57896141.6041799,41722805.9104062
"204",2022-12-01,221.746554174599,2214169.81985567,38370428.3391117,36847786.5340392
"205",2023-01-01,162.254931860312,2058789.26780356,9641426.18932872,9957746.65175938
"206",2023-02-01,286.067189313321,2154754.13059446,5119421.7667416,5142675.49257693
"207",2023-03-01,376.101263857869,2928807.86865745,3520997.11051005,2989371.96176517
"208",2023-04-01,224.385320590195,3284044.4462147,108211733.254857,62448751.7103743
"209",2023-05-01,311.390806902285,4808554.48506275,308044726.64159,138331007.889289
"210",2023-06-01,99.8318541546417,5546687.94601422,115941837.465369,72940427.7999931
"211",2023-07-01,593.597236734023,5698711.38333015,122037109.627137,79530543.2142168
"212",2023-08-01,546.220335986245,5693262.19306016,99467625.1321278,63792811.6763792
"213",2023-09-01,192.208009419815,5047143.26377665,105606815.557859,61025663.9419952
"214",2023-10-01,311.281623336093,4077100.53022571,52426787.0562503,36803840.7322356
"215",2023-11-01,333.926179092417,2786278.44065592,41440745.44818,34044396.2647338
"216",2023-12-01,140.574084309916,2100278.58153121,31056228.9050393,27700198.5173553
"217",2024-01-01,157.719924662767,1814891.13434946,6905029.00889047,6927435.88488791
"218",2024-02-01,50.2992268234461,2446137.59027816,3444877.89085608,3855272.79462707
"219",2024-03-01,199.464622508729,2776045.44095582,8804252.14650263,7870013.91783375
"220",2024-04-01,418.199223137293,3512018.78194372,83166853.2163332,45374046.1946084
"221",2024-05-01,301.741407424237,4419228.1304776,128832046.109143,71254815.2675302
"222",2024-06-01,230.480696571966,5639930.85952963,86071846.0602525,61980116.8727453
"223",2024-07-01,301.181621342508,5731283.2734226,37600084.1314259,33857407.5435575
"224",2024-08-01,268.519295269485,5698346.53585607,12172799.7177371,12210678.8904482
"225",2024-09-01,327.82004577125,4862310.62869618,11850041.0019343,10289348.8828195
"226",2024-10-01,142.15283740987,3922827.73566504,8034767.7360479,8000147.19884637
"227",2024-11-01,276.175519960609,2457699.17341184,5947123.53237731,5519997.12064667
"228",2024-12-01,125.800904918479,2155601.04943032,5433345.57017179,4978781.97038169
"229",2025-01-01,112.066817965932,1974563.06689138,782970.087266044,103703.525741404
"230",2025-02-01,130.096351317688,2614193.37294704,1088497.46846308,458191.766372812
"231",2025-03-01,434.552143384462,2745331.85353824,5335891.43275637,4612577.13340509
"232",2025-04-01,392.131146972068,3226788.81430603,34991378.0193765,32789285.2424998
"233",2025-05-01,613.324279085109,4066936.32585465,180185377.664763,76205475.1427471
"234",2025-06-01,251.348906814638,5808613.45913556,166848421.371048,84756244.4278834
"235",2025-07-01,257.860112570118,5823805.95729256,103453846.422683,64714718.327104
"236",2025-08-01,365.211529922081,5678411.63127074,36824348.0688049,35706282.9117841
"237",2025-09-01,502.678544071208,5098434.03526156,56190483.2711438,43806582.2042087
"238",2025-10-01,439.149603238426,3486468.01230518,74301938.320738,51270379.6266854
"239",2025-11-01,387.546744990734,2446039.38574712,63065536.0103678,43737165.4574286
"240",2025-12-01,218.042938965572,2065139.69610608,40717635.9075005,31906224.1106314
"241",2026-01-01,273.100893747505,2397836.45471057,6365833.01843293,6712582.67575702
"242",2026-02-01,151.49210088312,1903236.89895238,5535452.29142122,5670376.95071893
"243",2026-03-01,325.644442137477,2296811.96017925,3620907.69117523,3388206.53980698
"244",2026-04-01,312.190647029524,3244327.25834967,35781242.9839864,26661064.5573347
"245",2026-05-01,424.188710425316,4805048.14214632,373687984.612455,181566799.96381
"246",2026-06-01,224.115355258164,5258653.05062604,126005856.000336,80504955.4822706
"247",2026-07-01,227.042316160023,5726909.50174228,116546766.394107,73164682.5015944
"248",2026-08-01,396.175311200458,5923088.64061251,76701208.0987562,49372730.0828923
"249",2026-09-01,275.42618239125,4288133.01484179,87210159.9345178,57754110.96569
"250",2026-10-01,86.000378612329,3630434.07563812,35936296.8790828,34823947.7737883
"251",2026-11-01,163.321285173653,2819626.66334766,27122083.9524923,27143475.1293366
"252",2026-12-01,162.792703781803,2117127.01852997,30144450.2184057,30279103.9414525
"253",2027-01-01,259.636483761506,2069784.95210456,9391662.85460768,9588387.41062312
"254",2027-02-01,183.408595093633,2321270.29527577,5315806.22710147,5110984.9949072
"255",2027-03-01,667.647894257715,2677390.17582457,2681774.92208995,2620490.56354823
"256",2027-04-01,586.450665978603,3390332.05521001,100986027.206082,61022706.0474383
"257",2027-05-01,635.486363026227,4083813.92507972,331232715.575047,146936575.093778
"258",2027-06-01,434.519065677656,4753646.28263139,207157115.922642,109646431.918169
"259",2027-07-01,621.353217966802,5507506.67542137,237820456.012362,132413479.060847
"260",2027-08-01,214.363982071068,6206085.70447581,128278862.964468,70125123.0995581
"261",2027-09-01,280.414003415608,4436993.37959044,146444550.638162,75111747.8029423
"262",2027-10-01,445.05858835708,3347010.76739737,114816129.654707,62117616.6725412
"263",2027-11-01,211.988992514542,3031742.37100026,113649862.450572,63334489.6215102
"264",2027-12-01,221.788707342062,2198445.03322045,112963610.014206,69717026.4046367
"265",2028-01-01,140.558343206806,2069444.89993042,57748783.7947131,31623411.0329867
"266",2028-02-01,122.87762323393,2356003.74260527,22915560.3934898,20664753.8670993
"267",2028-03-01,572.268829692292,2902754.44303127,19990577.5285805,21084144.2791739
"268",2028-04-01,610.233257158868,3643483.16797523,153647257.594646,76432491.0391219
"269",2028-05-01,433.199098901527,4285850.04997515,229487815.966721,104710268.435116
"270",2028-06-01,180.200478996516,5636050.1639863,150750497.593991,89516279.0906648
"271",2028-07-01,55.3796005059939,5483200.01585383,79087999.5283675,42475210.3608918
"272",2028-08-01,225.111648418658,5854092.85640977,42058609.0496795,25870390.6367915
"273",2028-09-01,126.695282944835,5032760.27106655,16614210.4216821,16583616.2635096
"274",2028-10-01,67.4964297596199,3752709.44473315,6001457.82348931,6012052.83087533
"275",2028-11-01,178.892686514171,2922230.0245266,4755143.1265657,4816390.08486711
"276",2028-12-01,160.90959621751,2560986.00680079,10014622.2243985,9440439.15513785
"277",2029-01-01,280.965235915904,2219798.44854363,2585931.35094215,1873269.98825847
"278",2029-02-01,225.876638779091,2218303.8907338,1565189.13278282,1252216.77885242
"279",2029-03-01,738.487477414723,2548919.2876478,1546288.93153589,2126680.75466401
"280",2029-04-01,374.170782447023,3291085.34797856,40736515.7447543,29424789.1152363
"281",2029-05-01,373.424249431387,3683067.16146579,135254473.187477,74588979.1221924
"282",2029-06-01,336.078790008168,5470468.73369874,360154321.63575,155625955.52502
"283",2029-07-01,266.00068990356,6134751.43794746,150750472.816118,92421969.9969791
"284",2029-08-01,636.463555183907,5516733.85681718,111082591.899807,70694752.6323382
"285",2029-09-01,158.120235820445,5086750.30427992,112903285.56111,68087485.8159382
"286",2029-10-01,131.96136725858,3324799.55666641,46567298.9080373,37123843.5858358
"287",2029-11-01,135.488199988077,2616773.05727474,30085700.24147,30105822.7874264
"288",2029-12-01,296.419804089228,2340992.55478625,33239724.2124227,33408013.7473773
"289",2030-01-01,414.57978415518,2370925.6052844,14617671.1995249,15050524.5670057
"290",2030-02-01,126.438092597719,1955317.8706634,10904419.7078234,10422980.3578061
"291",2030-03-01,374.749148926121,2754574.33633675,6763074.3187367,9538726.65005615
