"","month","Precip_m3","Evap_m3","Inflow_m3"
"1",2006-01-01,114.781088035632,1192447.09974338,129994981.539917
"2",2006-02-01,174.124446880937,1157195.70804778,132115091.693115
"3",2006-03-01,165.233930267644,1376384.52022317,106582626.150513
"4",2006-04-01,82.4225367710126,1340765.14971329,89673817.4011231
"5",2006-05-01,4.68035630515575,1568871.22934155,12666626.2388706
"6",2006-06-01,24.8203011134349,1702090.09572171,13375.5681462586
"7",2006-07-01,405.373415928022,2421330.70875932,1113441.45996821
"8",2006-08-01,1087.33273679771,2623626.98931592,2455355.77721447
"9",2006-09-01,261.58947164353,2123966.07109909,1178118.04177668
"10",2006-10-01,263.185349967201,1709417.35586091,1422727.60938406
"11",2006-11-01,90.1476560837671,1362807.13254986,856145.250691474
"12",2006-12-01,183.415105682738,1219114.15109698,181945.459573727
"13",2007-01-01,25.1856393506591,1194299.94519032,1232219.54240799
"14",2007-02-01,170.989873503027,1238809.52418716,653962.069693208
"15",2007-03-01,53.6253941032965,1302124.67844019,7119470.18265725
"16",2007-04-01,126.587753576732,1422744.45635572,2164605.76685071
"17",2007-05-01,112.002583982018,1822681.54198293,2880.4279132979
"18",2007-06-01,16.8869098542199,1754603.92447706,122.65728184866
"19",2007-07-01,99.560767362532,1944258.67951814,7587.28544237965
"20",2007-08-01,349.049378712013,2216871.25889025,3032358.65778658
"21",2007-09-01,168.184435709597,2217089.83650591,354060.846199561
"22",2007-10-01,80.1664836639771,1478887.95220773,15618579.3643981
"23",2007-11-01,91.4157043494627,1174389.65116684,30215091.5874481
"24",2007-12-01,308.854353620719,1094427.00831468,1379714.61895108
"25",2008-01-01,63.6129686401308,1300295.82067048,38307925.9643554
"26",2008-02-01,322.770944842385,1193481.69088368,29861944.9172974
"27",2008-03-01,151.378124075883,1311539.38517606,29486692.2031403
"28",2008-04-01,73.7440053216042,1282859.17845915,15982623.0431557
"29",2008-05-01,15.3730193352161,1530621.18855043,132282.388586272
"30",2008-06-01,1.91478757920655,1633637.90503914,66236.2077280646
"31",2008-07-01,219.06005069909,2170518.96944988,65552.0535617019
"32",2008-08-01,397.163098574642,2209396.42289901,426933.62955479
"33",2008-09-01,78.7683777021425,1821289.95752389,27412820.6482261
"34",2008-10-01,152.004987902227,1597632.52277006,82751120.2331543
"35",2008-11-01,33.6962122980607,1139369.42364974,125405882.96814
"36",2008-12-01,151.831336898731,1206089.18597474,99122471.1914062
"37",2009-01-01,694.947021471302,1327809.96975434,50356447.5585937
"38",2009-02-01,174.937323845192,1116744.84988396,47050188.2171631
"39",2009-03-01,429.559455956143,1477199.65523178,81817901.0101317
"40",2009-04-01,88.088932648353,1426525.69955262,199106251.858521
"41",2009-05-01,22.8581160436282,1645730.94188921,54962966.9723511
"42",2009-06-01,15.1448393768333,1807909.41437059,8904682.18185408
"43",2009-07-01,116.603607044502,1929131.82316144,210639.369831153
"44",2009-08-01,202.818446794616,2133246.55584024,2135813.4433019
"45",2009-09-01,78.5620887684578,1933527.03411373,813171.843943221
"46",2009-10-01,159.99555545846,1539483.18175644,741764.891113224
"47",2009-11-01,126.281222821396,1256991.67529794,578936.827390921
"48",2009-12-01,166.18411260761,1138236.01316137,181066115.016747
"49",2010-01-01,91.5720640336278,1155606.91441132,404923795.202637
"50",2010-02-01,120.715969027883,1052822.06089462,223327278.424072
"51",2010-03-01,3.16648172529909,1229702.49223188,182257583.03833
"52",2010-04-01,80.3317505133956,1368105.44721974,123942028.710938
"53",2010-05-01,0.193609289735429,1477846.04276345,42171902.6447296
"54",2010-06-01,32.4660059618741,1665486.52883692,18441883.5315585
"55",2010-07-01,330.952118774337,2227353.40992179,30299780.28633
"56",2010-08-01,67.3170238453523,1954616.0464568,49299933.9248657
"57",2010-09-01,17.824944159732,1767936.22907214,64253240.6890869
"58",2010-10-01,261.816879846302,1650646.70709328,189978822.509765
"59",2010-11-01,123.505396959331,1311379.59057454,82578326.083374
"60",2010-12-01,82.2366433697946,1206125.29191707,105978691.323853
"61",2011-01-01,133.717404668858,1165061.14527765,66673120.1385498
"62",2011-02-01,279.929394765889,1068905.05773438,253737970.202637
"63",2011-03-01,132.904123275513,1152211.24375051,209127693.658447
"64",2011-04-01,36.7772300010531,1292950.38977812,140988118.551636
"65",2011-05-01,11.0539957463729,1518756.50361969,35564180.4017544
"66",2011-06-01,29.7480912692152,1724714.98576456,10602257.0115946
"67",2011-07-01,85.8623579654717,1811729.80311065,2156088.55530359
