"","month","Precip_m3","Evap_m3","Inflow_m3"
"1",2006-01-01,0.841273163990404,1081092.81827816,267908937.341309
"2",2006-02-01,172.305117029021,1148012.14765133,187172438.983154
"3",2006-03-01,144.310509765419,1164789.19237765,92115911.0412598
"4",2006-04-01,103.348981819475,1396481.64232345,78882869.2359924
"5",2006-05-01,60.70403839701,1654385.5042788,17389186.0490084
"6",2006-06-01,33.72907007727,1726407.18765719,1916758.96990271
"7",2006-07-01,965.5286672747,2826713.2107203,14477486.7151804
"8",2006-08-01,487.785285816409,2237859.66442919,13622027.4699211
"9",2006-09-01,70.674144287725,1850897.15488752,12095729.0283859
"10",2006-10-01,6.19194565542264,1601889.55561844,6360797.54054547
"11",2006-11-01,96.3585985762645,1173652.88833851,1707418.42888557
"12",2006-12-01,64.1681402259021,1169290.20251229,661243.652547151
"13",2007-01-01,323.315761024884,1201429.16698561,3428111.87317372
"14",2007-02-01,102.174647060195,1018272.57027366,32078616.7785644
"15",2007-03-01,290.396785808024,1375118.82607369,25296732.1231842
"16",2007-04-01,8.54351540620489,1254626.84313007,109808301.516724
"17",2007-05-01,17.6857364371859,1544533.6173519,30469058.264637
"18",2007-06-01,27.853198153522,1713784.76589514,3816.67498085008
"19",2007-07-01,132.796863311985,1952735.26250116,144821.352718212
"20",2007-08-01,371.355141839781,2070960.7941646,13000617.5274957
"21",2007-09-01,61.5682832303129,1808755.87597771,29761823.2372284
"22",2007-10-01,203.010822289772,1485502.70843337,790683.324402245
"23",2007-11-01,190.059207578753,1216852.26052465,44921842.0463562
"24",2007-12-01,404.500765344314,1240714.16271985,59640049.3469238
"25",2008-01-01,160.724843112666,1188434.50271491,46362584.4955444
"26",2008-02-01,224.365313719523,1303850.05911366,48370075.3234863
"27",2008-03-01,271.505490031359,1400323.3244411,51996872.8437424
"28",2008-04-01,37.0690641268805,1369787.71577298,47784700.9162903
"29",2008-05-01,39.2743851328596,1645592.34891086,1474490.33261351
"30",2008-06-01,11.3047552113113,1625425.36467515,568.090884099183
"31",2008-07-01,294.295740245438,2187451.20277675,4459.10469900746
"32",2008-08-01,360.753693739099,1993666.8679976,1369011.592374
"33",2008-09-01,74.014246213945,1745133.23819168,393315.153771301
"34",2008-10-01,6.61730219682015,1462186.55795559,206996.944082994
"35",2008-11-01,348.999279067052,1274580.39358795,203909.639251675
"36",2008-12-01,102.474767711771,1142527.31637678,814107.985261827
"37",2009-01-01,460.586367568514,1243327.38677024,230151037.82959
"38",2009-02-01,194.601180798351,1241210.23579485,135319227.127075
"39",2009-03-01,283.847442792161,1333083.29834286,96618204.4647216
"40",2009-04-01,66.3682936269046,1453050.62759109,120146046.075439
"41",2009-05-01,19.1270903277017,1666459.43662475,28815667.554903
"42",2009-06-01,176.582524767284,1827399.51941974,1295892.59521142
"43",2009-07-01,94.4491462837398,2058816.22012104,23754008.0843009
"44",2009-08-01,137.531052954009,2061286.0802267,37923855.0430298
"45",2009-09-01,94.3228823654632,1923163.37836842,3974427.30650045
"46",2009-10-01,220.210779172623,1689848.33954582,827364.33247081
"47",2009-11-01,3.7387854490007,1133390.7314638,286226.970023196
"48",2009-12-01,57.7819702088964,1071836.93490489,3819843.8188076
"49",2010-01-01,652.180327022415,1273282.43593954,3349338.58408928
"50",2010-02-01,168.332450365297,1118591.75084023,34284399.2076874
"51",2010-03-01,172.078726940387,1212059.54013941,42800249.8512268
"52",2010-04-01,4.94770099661997,1363004.37639996,146559117.054749
"53",2010-05-01,19.610513760024,1645337.51555567,60494912.1276855
"54",2010-06-01,42.5087801863458,1805185.6332355,7213541.90681091
"55",2010-07-01,557.156107246144,2398948.68024899,1055781.89780276
"56",2010-08-01,704.065096247388,2516534.02524158,1008067.93444039
"57",2010-09-01,130.23757987105,1909802.78431307,33038028.691864
"58",2010-10-01,237.596843974643,1744469.59307132,12761783.1921369
"59",2010-11-01,32.8135358414562,1238820.84422109,6368312.18383312
"60",2010-12-01,90.651175385347,1224769.07939244,20817289.4935012
"61",2011-01-01,506.808980064927,1304958.24700467,139264966.941834
"62",2011-02-01,99.730578221609,1232340.81689374,166680974.542237
"63",2011-03-01,398.6439645096,1443193.01652171,188756001.507568
"64",2011-04-01,43.9587526320176,1456666.43978583,198556573.205566
"65",2011-05-01,13.6683699484791,1598033.85546064,59203039.9108886
"66",2011-06-01,2.0128200670267,1646189.31703082,10058980.145824
"67",2011-07-01,71.7745974114517,1853906.81273012,859408.091166056
"68",2011-08-01,462.2723404967,2543717.23702264,15032097.2746767
"69",2011-09-01,97.0891291323457,1852864.88446715,23086744.1640459
"70",2011-10-01,43.4962951574665,1601660.20700588,23285587.702024
"71",2011-11-01,360.273762584095,1342803.45698402,12848333.1210762
"72",2011-12-01,421.475899119683,1307980.11262721,13204893.0422768
"73",2012-01-01,456.513377726502,1173874.42384982,9622444.52962876
"74",2012-02-01,223.395638228228,1327584.16620891,164215230.523682
"75",2012-03-01,353.24118244836,1471114.87792723,252938376.425171
"76",2012-04-01,2.84669222388677,1450615.7182991,88557361.9628906
"77",2012-05-01,97.6288686018273,1764681.19481639,41051866.0377502
"78",2012-06-01,18.7280971749593,1723231.71934476,6822156.98256316
"79",2012-07-01,75.3728298578637,1903528.50733555,1801130.8090365
"80",2012-08-01,350.449694482561,2169824.79356297,13384713.7060672
"81",2012-09-01,35.2694680345123,1780999.79456229,6830053.08349058
"82",2012-10-01,29.5678633815648,1591406.01589544,36675038.5379791
"83",2012-11-01,26.1428667019214,1126603.77366199,248467436.018371
"84",2012-12-01,238.637540223606,1095506.11415834,329497455.102539
"85",2013-01-01,733.17374037768,1283146.11582005,183121142.541504
"86",2013-02-01,307.959665677065,1205331.94546205,106952392.584229
"87",2013-03-01,205.305341568243,1440014.8998311,196797436.44104
"88",2013-04-01,155.589533302956,1473288.28310831,175906824.279785
"89",2013-05-01,162.531257416559,1885254.85046368,32431264.7393703
"90",2013-06-01,5.80277317120571,1807784.35550964,15676181.3002825
"91",2013-07-01,102.817064309577,2062141.57446508,28838765.7285511
"92",2013-08-01,80.6060500627194,2010285.53552782,18487307.0537567
"93",2013-09-01,15.0566853494001,1777758.53746192,81407365.0131226
"94",2013-10-01,79.9122715826081,1525214.22711518,25382811.9498253
"95",2013-11-01,159.593017896964,1280168.04091724,12949276.9439399
"96",2013-12-01,135.083075772076,1199965.5506764,11043025.100407
"97",2014-01-01,75.672943641567,1262235.26234309,26128418.2439804
"98",2014-02-01,100.795501199526,1245718.6509963,288036770.004273
"99",2014-03-01,356.768295292235,1405518.0731304,294145647.63794
"100",2014-04-01,2.91426138673734,1243648.0549552,397975733.459473
"101",2014-05-01,3.48486781952689,1531348.15345825,75412198.2290269
"102",2014-06-01,4.70720058896614,1584571.17162212,28459501.7497301
"103",2014-07-01,203.623319877373,2011279.65379567,22920276.6685233
"104",2014-08-01,935.95592989989,2730799.56871715,70464134.0835571
"105",2014-09-01,292.426439887572,2170828.00208055,64115550.6591798
"106",2014-10-01,8.13938175204932,1691979.86217143,36923116.2506104
"107",2014-11-01,1.43767728447044,1239887.7635141,5604819.14791167
"108",2014-12-01,15.3093540189385,1071336.61569619,7772371.46140337
"109",2015-01-01,167.91494056056,1099835.01737914,59445353.0456543
"110",2015-02-01,159.004360069315,1118646.04568849,64789711.0290527
"111",2015-03-01,257.543791515165,1264109.94830142,103762244.119263
"112",2015-04-01,67.8781581250256,1329073.69366886,71847857.7163696
"113",2015-05-01,17.3300637539829,1475505.26685183,4505936.91124194
"114",2015-06-01,24.0046825377113,1693806.89829466,894.835358817364
