"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"1",2006-01-01,153.738551499799,1955717.02200415,76989847.0120311,36004183.9334786
"2",2006-02-01,202.961605992707,1996057.6032427,58862492.8871197,26485225.3552479
"3",2006-03-01,427.574694703844,2640087.37213579,18917183.9877725,16193453.9080898
"4",2006-04-01,399.165415346335,3031266.13724111,169633494.067629,108620227.402018
"5",2006-05-01,477.646268865249,4021392.9190983,241278986.795215,115692749.686758
"6",2006-06-01,313.976062715804,5218267.83604249,261064971.043865,127233563.878803
"7",2006-07-01,661.655554592086,5914801.49525735,200691908.12368,116302300.221904
"8",2006-08-01,361.738058769255,5324164.19880766,161166595.732901,93587058.7632269
"9",2006-09-01,187.375889100254,4545231.38241408,164976115.28743,93409979.5204348
"10",2006-10-01,338.732112737425,3456110.4103196,129608428.004326,72024337.713619
"11",2006-11-01,271.197346072701,2245264.16987429,109571772.357506,62763484.892714
"12",2006-12-01,114.40950821328,2174601.19241405,114576925.974417,61094345.7957865
"13",2007-01-01,182.206837871234,1896503.06239559,45815467.5590842,27502682.3482513
"14",2007-02-01,210.968767744117,1801806.29996268,16887632.8998563,17055921.9462587
"15",2007-03-01,913.892070704643,2825018.54251352,15102047.5771488,17797010.2448495
"16",2007-04-01,353.272125705478,2842091.94773723,128203087.179312,76755737.8836718
"17",2007-05-01,325.430679389588,4105647.16892004,226139095.587637,117332477.79484
"18",2007-06-01,202.440248219815,5437080.56617318,172547564.459547,94915288.5377973
"19",2007-07-01,350.182161649512,6065907.7511415,138880387.007412,80321634.842428
"20",2007-08-01,372.632912427528,5553998.2011536,85657426.22452,48517153.1993351
"21",2007-09-01,304.169638986202,3832916.70775194,83790823.5552963,50834662.5463542
"22",2007-10-01,698.674018321288,3166988.58820903,71470274.8552808,42781329.5222232
"23",2007-11-01,336.811010393328,2333336.88570929,45158046.6145467,32243071.8333732
"24",2007-12-01,243.104780398782,2130973.12433563,24621260.6351461,24784119.1213014
"25",2008-01-01,128.488502657873,1947542.61055191,4716340.03452617,4860792.80915279
"26",2008-02-01,294.431637356534,2352482.48631942,2816637.93854078,2439613.48821502
"27",2008-03-01,709.507037513016,2647159.40984227,2701569.51721012,2725724.56212229
"28",2008-04-01,432.151892539037,3229401.54898503,80697734.1829299,40097192.0723915
"29",2008-05-01,205.126747134899,4408111.91036038,327015457.544464,169984093.542141
"30",2008-06-01,143.504787145531,4955934.34070076,356362978.297327,176795349.597453
"31",2008-07-01,381.397307833378,5854621.22172125,198608518.698987,115672180.918059
"32",2008-08-01,639.292042715001,5139237.32123759,171052594.670977,100712276.17494
"33",2008-09-01,334.094873006447,4314939.7445555,180549487.913216,103036971.412051
"34",2008-10-01,263.563656683046,2921056.46004264,130009317.973707,73817177.39294
"35",2008-11-01,293.047554442124,2438984.18722924,205838772.856848,119954363.384418
"36",2008-12-01,225.113654555581,2071409.3514475,154544467.578273,95399738.4973515
"37",2009-01-01,99.1011122422482,2035632.53056449,93285744.114504,47300792.0363225
"38",2009-02-01,146.419221686014,1881039.79840301,80438545.9398793,36025732.2700845
"39",2009-03-01,411.932205948484,2314702.57929827,53334102.1005769,27389882.9703053
"40",2009-04-01,318.26118947606,3266730.76693799,100880154.279126,55764111.3513843
"41",2009-05-01,448.697979585668,4157236.86528852,340630507.105261,172995524.256545
"42",2009-06-01,310.241881180369,4973249.34970158,343826296.173147,185735229.620817
"43",2009-07-01,201.948389015456,6037029.56061729,323265643.14883,206993058.284095
"44",2009-08-01,444.245979562487,5574197.6619337,214934044.413543,136696379.263687
"45",2009-09-01,219.819800632427,4581311.98942518,203239624.047424,117975787.73941
"46",2009-10-01,433.575126330575,3606068.30083413,160113515.667855,91494005.5565111
"47",2009-11-01,122.577490757851,2429929.95335362,141436155.763341,79944947.1117988
"48",2009-12-01,171.317452021159,2051994.70072049,142997479.49808,77709769.9688293
"49",2010-01-01,260.859453543901,2101953.87750612,92682132.4774532,41469401.7465261
"50",2010-02-01,272.590195612588,1935406.29069944,77605648.0935345,30938501.297749
"51",2010-03-01,308.948832960516,2356071.0686989,55500762.396487,22347540.9302794
"52",2010-04-01,485.953780737277,2866476.327579,216292610.14789,126262626.416633
"53",2010-05-01,323.815154252548,4324694.47128887,238883006.869872,123435071.623845
"54",2010-06-01,199.62878798774,5591268.48005343,259312094.244701,133186426.48403
"55",2010-07-01,390.44228991468,6076978.73459113,191411780.697434,110990934.079914
"56",2010-08-01,380.708607675899,5732852.7937644,126269553.9951,70903412.7609048
"57",2010-09-01,352.281838863431,4321850.62391701,143735939.807172,74603957.1070092
"58",2010-10-01,643.46457595125,3367663.36637881,106186794.585444,52649927.7188491
"59",2010-11-01,304.188009510791,2220170.55679399,95820001.0910098,49791169.1761617
"60",2010-12-01,150.505192425903,2344692.87662344,79361328.1588761,45797764.6499483
"61",2011-01-01,181.706803572986,2329871.55146256,21859082.9212333,16705471.7718119
"62",2011-02-01,247.828826117366,1951826.63542691,9718529.89480504,9412682.92371583
"63",2011-03-01,740.233256267972,2736677.33626449,5145474.94067838,9976733.48336379
"64",2011-04-01,564.373242712075,3078840.74127279,119558910.796885,57661416.5917441
"65",2011-05-01,622.81991074758,3856609.13726395,352445699.703813,181010754.769206
"66",2011-06-01,282.186315637786,4998689.31203488,366529687.990344,212125067.752898
"67",2011-07-01,255.78626357012,6165753.98917207,315331022.201032,199294204.939073
"68",2011-08-01,599.444365698603,5669717.37039792,221489094.899645,138435904.721108
"69",2011-09-01,172.580298514153,4690261.35535875,255311254.780666,157032963.565604
"70",2011-10-01,448.012152079465,3637110.76283127,182248626.553959,111041015.487248
"71",2011-11-01,245.154945750505,2716599.21891248,195491751.095103,126154811.959098
"72",2011-12-01,234.121732048138,2493482.83193466,177784295.943052,108782197.035677
"73",2012-01-01,282.98096150017,2267874.67527241,116119670.090683,60524648.8851506
"74",2012-02-01,219.564148785892,2451621.2181524,95104984.9616049,38809519.0686582
"75",2012-03-01,433.703373367812,2793934.23219149,99797811.5293963,33846177.6019497
"76",2012-04-01,542.854817155745,3454207.69183786,81073049.6868415,39667178.2673641
"77",2012-05-01,502.038863402149,4496156.18355126,242508718.297085,131254301.748928
"78",2012-06-01,867.779337503585,4858307.15212321,414357609.487411,200072817.472789
"79",2012-07-01,238.687718616976,5675193.09169846,203715683.261693,121299157.917441
"80",2012-08-01,267.527140192826,5636888.37260582,169327236.650893,98997681.7223043
"81",2012-09-01,316.926661574133,4540220.04155185,195647362.700072,107650068.346539
"82",2012-10-01,251.629537834748,3532247.61618594,181304174.94318,101991415.566272
"83",2012-11-01,117.453299545551,2500603.58846952,161299519.720162,98789794.4916375
"84",2012-12-01,197.517411915975,2107590.87624189,156957188.963056,84553282.1038848
"85",2013-01-01,143.301422377031,2183100.76008823,93117990.2106224,42696108.6787222
"86",2013-02-01,247.254424334601,2028719.26246232,67701456.7348172,29446061.5868797
"87",2013-03-01,458.972299036221,2746778.50337903,45334475.439399,23803931.8287069
"88",2013-04-01,778.764651902892,2956633.31033169,186802018.021305,110783863.197465
"89",2013-05-01,1033.68606356532,4179746.22873828,346405410.830444,173342109.990567
"90",2013-06-01,480.941233336927,4707284.75092034,281157626.18663,151207896.668574
"91",2013-07-01,255.219955314027,5754394.63530282,270791683.819847,162854548.81783
"92",2013-08-01,290.69207571682,5711791.20686759,224634256.71186,141756312.390585
