"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"645",2059-09-01,299.743806074111,4824779.41905736,107697418.780504,57636772.1528158
"646",2059-10-01,698.293500658082,3276899.42504224,118855811.219888,67370905.478429
"647",2059-11-01,353.508938998382,2532819.31674217,99678437.7137449,59295170.3410115
"648",2059-12-01,252.741754573696,1864036.20003306,95085674.3600401,53129235.4324016
"649",2060-01-01,150.095316719696,2228068.41390681,38034594.0763048,18401048.0478547
"650",2060-02-01,342.51588700242,2512023.04737485,8533832.6368957,8510261.49319682
"651",2060-03-01,606.331289114496,2837958.77536356,17416780.9748287,16983511.4413915
"652",2060-04-01,364.269850405555,3077038.07599431,84455690.6379283,49219947.9894519
"653",2060-05-01,473.90698101804,4054452.71603124,306367212.207726,148307191.571572
"654",2060-06-01,202.682997009279,4939302.92942665,249132669.393977,133635790.149817
"655",2060-07-01,472.749709933123,5930290.18420289,144671725.319459,81388169.1027179
"656",2060-08-01,307.796158188419,5776810.88942384,136463178.486718,77264514.6417327
"657",2060-09-01,210.411186664626,4724977.28483492,126489565.493951,69641176.8510617
"658",2060-10-01,339.413227831727,3620385.18838387,80304443.2392418,39029311.9798243
"659",2060-11-01,155.010182350711,2210878.81840668,89437133.7862149,48417993.710728
"660",2060-12-01,200.494142167468,2091806.07613464,97123131.9143012,52370804.3438629
"661",2061-01-01,95.7451255282448,1915495.64707208,34889924.9142118,20966830.8814354
"662",2061-02-01,337.889098271111,2181395.35915023,10565620.9314432,11576625.0376459
"663",2061-03-01,319.419089437219,2785997.2145986,8835809.20540709,9463754.82995455
"664",2061-04-01,287.752788420306,3320965.66729041,83478298.8627378,51190030.1892702
"665",2061-05-01,251.756156304044,4496711.84284535,224259749.419414,107273804.737638
"666",2061-06-01,201.31737721339,5262508.1399258,103719888.348748,62527040.2706228
"667",2061-07-01,834.751621488594,5800879.88825053,102115192.56997,63424787.460165
"668",2061-08-01,460.138369618972,5597007.23328481,98215410.3057594,61787019.5561618
"669",2061-09-01,368.092913168368,4734109.71468801,112286571.226642,68387702.5129773
"670",2061-10-01,746.441387427347,3178649.67588957,97236962.4304131,59165425.1979545
"671",2061-11-01,362.299480762925,2412616.97234781,115937238.929193,67185122.0565967
"672",2061-12-01,267.342893125977,2015236.64322891,110550277.767301,67557167.5002404
"673",2062-01-01,220.631002545886,2603082.63650745,52287836.9772557,22344823.2046489
"674",2062-02-01,209.138799443783,2164416.31368557,14961846.8480844,10505333.4579427
"675",2062-03-01,485.838773043254,2716419.69986651,12279480.4678689,7415160.18552881
"676",2062-04-01,573.743135358681,2852101.52402161,41282732.1890042,22835656.7770169
"677",2062-05-01,221.800595850244,4257803.07104645,290895241.584706,143903116.81577
"678",2062-06-01,303.832681969098,4945332.56530802,272569214.673418,136106620.778722
"679",2062-07-01,673.744081368841,5445045.55947198,195230508.824949,110901032.166843
"680",2062-08-01,316.612244747745,5749594.76018116,143751900.57321,80159682.9505608
"681",2062-09-01,176.033486667935,4917924.78352864,133662231.514977,72569999.9531138
"682",2062-10-01,556.053302775783,3310703.64861979,123396407.255269,60967388.4701796
"683",2062-11-01,467.869289009691,2343979.83331091,102063532.866967,60095287.53835
"684",2062-12-01,315.188932283601,2189547.655817,101514725.130462,51602005.2287154
"685",2063-01-01,230.534196519341,2397344.28912437,57397545.4254393,22158148.6441378
"686",2063-02-01,223.215174982929,2052192.30578897,31406725.3598526,13039735.0954548
"687",2063-03-01,752.388164241004,2489207.47404445,23544100.5425835,8670199.03883287
"688",2063-04-01,704.154312459381,2674045.11613502,30725104.2434292,8400649.62159119
"689",2063-05-01,192.00989907225,3934854.73897717,161301049.125251,86224662.2222209
"690",2063-06-01,380.935002493051,4793822.74524778,598974814.527752,345225692.894152
"691",2063-07-01,596.748030084509,6031604.11986707,339650155.839837,219963901.107037
"692",2063-08-01,486.453206156005,6004453.82450806,257903213.613237,167007852.881683
"693",2063-09-01,256.876499548447,4671135.03503592,245839575.935148,154343724.924897
"694",2063-10-01,449.035777548701,3222960.27098924,189280127.755125,117335459.487458
"695",2063-11-01,422.966556482356,2568396.91524227,237716481.446593,143876048.748486
"696",2063-12-01,289.759246243809,2059315.2616998,211756370.484525,138716884.91481
"697",2064-01-01,161.333357383089,2455016.37567098,128191148.796168,76010652.4121794
"698",2064-02-01,202.092246207287,2090223.95723159,106254499.065576,56028692.3861482
"699",2064-03-01,671.393815789518,2848586.39940224,115309377.817535,49947503.775328
"700",2064-04-01,204.909480149429,3143804.86808613,176526635.236064,90057115.9665496
"701",2064-05-01,310.341018767257,3832609.85533939,270617581.154814,132088619.304576
"702",2064-06-01,352.729732240021,5187801.58699501,250041484.46504,139166639.657463
"703",2064-07-01,662.444608187064,5736903.66065642,164009139.018157,90790119.8529393
"704",2064-08-01,976.598677063219,5021959.4685502,216206854.371473,138552124.232027
"705",2064-09-01,124.764676307711,4309799.23717443,204614544.833697,124955450.217486
"706",2064-10-01,660.966614797922,4004148.56894888,159782241.917628,83473292.4636304
"707",2064-11-01,301.90727844153,2723391.32601387,150073872.404856,86038569.9142278
"708",2064-12-01,288.397187579037,2316035.23559162,151120595.902036,84377638.1784182
"709",2065-01-01,140.172568913235,1922744.41972633,86570975.865014,32884926.7336026
"710",2065-02-01,258.04204273141,2096610.80487614,74993471.3285728,25586385.2270706
"711",2065-03-01,507.711212544269,2923972.54345601,65430218.1191566,19522511.320162
"712",2065-04-01,804.271690164954,3141459.78622643,128636604.421806,53997692.6737905
"713",2065-05-01,658.239408988167,3771953.96744942,340827714.128298,178725192.614454
"714",2065-06-01,387.20487286498,4739944.37658168,363523864.551097,189029130.261308
"715",2065-07-01,646.116216960519,5658698.76050829,306572924.39163,192902270.652106
"716",2065-08-01,704.143181815887,5594066.9177798,271403082.771501,186694431.892928
"717",2065-09-01,262.610482559154,4826362.43706697,276500906.778353,182199566.114252
"718",2065-10-01,433.433522994798,3505573.39915501,222116984.044737,142776625.976247
"719",2065-11-01,252.013299955818,2904352.00304419,167083636.605692,101220457.659173
"720",2065-12-01,128.653754227647,2176197.81118298,190527656.053121,115787836.18923
"721",2066-01-01,220.704773685216,2263762.4856173,115932322.48333,58328312.54416
"722",2066-02-01,188.04302988735,2212995.70747994,87096870.1799769,33786783.1643063
"723",2066-03-01,747.178613937373,2821570.25752666,74576068.2606284,24974285.8634893
"724",2066-04-01,758.146826746662,3104879.28899711,130461313.298701,60582123.8576218
"725",2066-05-01,305.158891249354,4693929.79121168,509773476.379931,263032991.136754
"726",2066-06-01,446.158981341236,5071393.73691972,259180738.788682,164777564.897329
"727",2066-07-01,498.282589111587,5572649.69380898,300712501.44453,197328975.802159
"728",2066-08-01,822.893755582573,5217533.69806095,255035579.533115,173870817.456284
"729",2066-09-01,337.467370974508,3988823.13133351,247211221.272178,158189594.885297
"730",2066-10-01,221.445093146191,4029445.57633752,164117812.85213,96724049.6307952
"731",2066-11-01,221.550616865058,2713544.07559535,147198464.273005,83607453.700095
"732",2066-12-01,239.172731303965,2192253.67022259,159610372.377322,83371261.2090921
"733",2067-01-01,235.212376428993,2174887.47082916,84232432.5869975,32577357.6665936
"734",2067-02-01,223.013669900488,2046781.93832099,69363382.5075109,20934183.9585442
"735",2067-03-01,649.230068837659,3102099.0342409,101703331.695139,46499778.3230536
"736",2067-04-01,748.63475759642,3049701.24330901,157712438.250466,86904504.2617522
"737",2067-05-01,466.281825221756,4285588.72687385,340419088.488941,174966008.780484
"738",2067-06-01,410.767309775626,4744985.03235338,354177175.209967,181163061.339989
"739",2067-07-01,254.681708602481,5786470.39927894,247612154.624391,155504730.699277
"740",2067-08-01,265.94513928241,6051780.70545563,173515487.99224,102824178.829003
"741",2067-09-01,398.627650662799,4815431.36889999,188352299.296928,104571077.511609
"742",2067-10-01,350.950353298461,3232160.41823922,134270461.381749,69082467.6367197
"743",2067-11-01,310.303117162448,2499670.92883336,127105934.348944,62588452.1164923
"744",2067-12-01,232.321823907322,2311243.7938548,149214323.703483,74383862.5126876
"745",2068-01-01,304.803716476621,2531814.2462046,84522203.3607244,35471750.9710908
"746",2068-02-01,177.901425352785,2219216.38686515,67426765.6986449,23030931.8926547
"747",2068-03-01,528.78492364631,2717205.95048908,62902536.9403391,18293527.0786375
"748",2068-04-01,586.748637975054,3070012.41224173,104591017.833652,52735116.5761074
"749",2068-05-01,312.278611989138,4465903.89608678,310047027.52124,149250446.870957
"750",2068-06-01,226.903960312229,5164336.18143452,297769024.271963,165928917.914591
"751",2068-07-01,312.572800461442,5725455.38024108,159995185.285505,91113969.3321906
"752",2068-08-01,559.392320330203,5207587.78148144,167861841.527436,98696406.0743429
"753",2068-09-01,109.985666111759,5137023.91107554,160336617.046054,88505687.7652422
"754",2068-10-01,152.018258302388,4170169.97760788,95809563.2672036,48636950.5992914
"755",2068-11-01,274.551078560754,2624847.25468485,66799883.8899477,35650382.9851075
"756",2068-12-01,195.78035006318,2185678.58003656,39757018.6375712,32469991.2269597
"757",2069-01-01,87.7928611813703,2122171.78921623,8664148.06072782,9077297.23285851
"758",2069-02-01,86.0574094129121,1726572.41363902,4495637.37743455,4614800.07263459
"759",2069-03-01,152.48417515712,3276208.56090206,48970203.0363265,26288175.1983013
"760",2069-04-01,14.7617338980797,3454433.21245325,127685292.754696,76496645.3732319
"761",2069-05-01,218.490949244239,4454311.15958223,32397486.7552912,32445900.441053
"762",2069-06-01,280.696270953977,5156206.23074877,18355339.3558703,18625251.8936484
"763",2069-07-01,471.966380471559,6175469.70288281,26163530.938983,23456857.8165784
"764",2069-08-01,467.056338840239,6093131.79841373,16213658.5361875,14680088.2301951
"765",2069-09-01,175.615002146494,5394277.43481178,7509390.23049998,7083875.17844821
"766",2069-10-01,173.79486084623,4108800.69206867,7710584.03966512,6443289.88738451
"767",2069-11-01,93.5217365142496,2482252.27635448,5672406.12798135,4765926.8485001
"768",2069-12-01,207.862199355582,2369781.57274891,8356350.19012339,7003420.83604656
"769",2070-01-01,201.999086229861,2407187.33312452,1887217.46698279,934206.0021204
"770",2070-02-01,82.4176825245694,1976402.85475829,1535914.19139026,584890.5560332
"771",2070-03-01,532.366869453847,2661989.39904525,4044094.25807111,3969066.79462567
"772",2070-04-01,260.519151743585,3328632.22704716,111506113.370287,56052600.1111083
"773",2070-05-01,332.848685125239,5013612.33263806,144635739.981234,71321738.490891
"774",2070-06-01,349.752250348436,4997947.62735026,80553396.4487487,54939812.9240864
"775",2070-07-01,551.288486448355,5916736.93607566,73649399.46397,55317387.1646678
"776",2070-08-01,303.845333314812,5959760.51056564,47621969.0408922,34066429.7989695
"777",2070-09-01,308.383597526542,5289867.4025403,13732550.5764995,13543832.3280728
"778",2070-10-01,625.552957247281,3581792.23206989,49185810.8303368,42162713.676989
"779",2070-11-01,358.829510080668,2467590.86347604,54433005.2662935,36437452.724072
"780",2070-12-01,177.938356994717,2215613.02550723,42893602.2847949,27177162.6947282
"781",2071-01-01,144.712217371453,2215338.83170783,10195405.241685,7369214.05040826
"782",2071-02-01,177.689801509731,1863963.94946572,2756453.94505758,2798610.38599375
"783",2071-03-01,851.57792114209,2902480.75937388,11816715.9250659,11895754.3160267
"784",2071-04-01,902.980533168842,2940089.85866582,145447164.995831,72330699.5715201
"785",2071-05-01,666.609701795119,3819060.87783247,353178439.570391,179485462.004936
"786",2071-06-01,90.7057271360994,4865452.19696849,362856670.380655,167742969.333521
"787",2071-07-01,455.078641751515,6076552.84243199,244848435.082582,146051440.317205
"788",2071-08-01,810.45146804134,5814135.75053166,262030256.597847,180410597.855991
"789",2071-09-01,410.43478966169,5088922.08882881,225662494.91863,139711165.800163
"790",2071-10-01,350.165452312406,3793772.10757357,171176149.018394,101890710.447465
"791",2071-11-01,273.886643914563,2895676.24002403,153472966.271272,91055967.586103
"792",2071-12-01,267.72445813781,2127523.98936661,154134569.249712,87510163.3832439
"793",2072-01-01,161.810493546034,2368156.59649418,85173952.6250845,36889706.952328
"794",2072-02-01,160.029336360752,2490166.13273538,72003081.958352,25892393.9300224
"795",2072-03-01,447.628332815276,2615676.0014377,77398907.2238446,21739852.6040554
"796",2072-04-01,256.242559999285,2943319.95381523,97738599.3419753,38045898.8350498
"797",2072-05-01,104.947187107628,4367945.1631567,277746249.223792,128428330.959117
"798",2072-06-01,235.283915145981,5337869.81983798,188402075.275965,106309707.662339
"799",2072-07-01,255.007899969332,6083831.20127807,111735253.549547,58113990.6143077
"800",2072-08-01,405.688430783689,6097442.46190722,80417071.6372713,39466407.1037874
"801",2072-09-01,247.261700477967,4776502.38029777,73429558.240322,38701239.3140651
"802",2072-10-01,248.869654771957,3946977.7311532,39725640.8387583,26185093.6946165
"803",2072-11-01,212.151599519226,2437854.10238253,20257135.1889808,19856875.1612423
"804",2072-12-01,175.960602310997,1999219.48572023,12797267.6048222,13242052.6506676
"805",2073-01-01,142.297159344061,2335391.78898441,557611.484487215,664635.08427192
"806",2073-02-01,183.890587090104,2069014.61179057,1497116.73021811,572270.80843749
"807",2073-03-01,620.920481988542,2945325.65765086,9701755.51882611,7871454.73092275
"808",2073-04-01,910.219345410431,2983076.83015202,113245885.361695,66524208.6820006
"809",2073-05-01,396.554970750802,4460983.14515539,401283419.303607,183474656.850337
"810",2073-06-01,109.224991355488,5173656.62667477,198098191.26353,107632715.148398
"811",2073-07-01,592.258196021566,6067562.08567894,181398469.439587,101462139.46918
"812",2073-08-01,701.056246716613,5377461.63228622,133944489.068397,75153356.3483678
"813",2073-09-01,113.3920607161,4655053.19675671,167319493.035397,97356960.6669333
"814",2073-10-01,252.770455397521,3411278.29763957,107758106.460323,54096287.2382842
"815",2073-11-01,290.918480850265,2172305.03846488,86314394.7816728,39305274.8886048
