"","month","Precip_m3","Evap_m3","Inflow_m3"
"1",2006-01-01,108.914256595598,957611.754546207,1837486.1486016
"2",2006-02-01,444.420046473007,1011592.98118441,35429003.7696
"3",2006-03-01,146.70791994726,1369983.91572697,126741228.768
"4",2006-04-01,212.291546690139,1370612.23513395,182884576.896
"5",2006-05-01,0.968089110819219,1579614.93025733,93145284.288
"6",2006-06-01,0.0902610268731456,1607975.06716028,15924957.8846017
"7",2006-07-01,87.5678997165647,2073771.94581805,20645836.0623152
"8",2006-08-01,825.640404007043,2424885.01674917,182588257.5552
"9",2006-09-01,79.2890472222474,1927248.91308779,340282905.984
"10",2006-10-01,132.937970687197,1470143.03084405,139289111.136
"11",2006-11-01,142.791351728802,1321298.54327959,64746501.12
"12",2006-12-01,190.130271196796,1103271.0607101,123246893.952
"13",2007-01-01,265.394546604283,1186858.79203252,162249339.168
"14",2007-02-01,146.557909379817,1050005.72037201,122986122.336
"15",2007-03-01,418.463231312715,1372332.23374946,163987104.96
"16",2007-04-01,61.0003366692987,1218367.90540609,244777595.328
"17",2007-05-01,0.459706602539459,1567117.48867914,67940938.96128
"18",2007-06-01,0.0109316230310759,1598287.13025683,22470601.88016
"19",2007-07-01,6.36273533381296,1850521.63389511,3672270.20182176
"20",2007-08-01,287.0799167816,2124374.72827655,19930061.8785744
"21",2007-09-01,110.762016334298,1892400.57552581,47592187.25184
"22",2007-10-01,0.00891900863627871,1545556.58520187,15215689.9937146
"23",2007-11-01,0.0264692749029033,1104114.54895715,699099.638832
"24",2007-12-01,85.7627876916693,1137865.50950931,2131913.25019008
"25",2008-01-01,219.480720475752,1082258.69343391,3805816.135968
"26",2008-02-01,92.1272438302119,1200496.80299482,30456915.1488
"27",2008-03-01,12.0368114805958,1130217.43598727,5680912.8847968
"28",2008-04-01,0.716632715643915,1335342.33526165,28893.076579584
"29",2008-05-01,0.523156287975523,1478132.05561679,6670.731854304
"30",2008-06-01,0.0591640044167502,1619019.32931996,226.058944608
"31",2008-07-01,1.45474141740838,1712345.5998771,84.5081421408
"32",2008-08-01,981.098341656303,2200424.61006609,731657.828811974
"33",2008-09-01,10.6649094587858,1779288.13123273,143710220.9088
"34",2008-10-01,162.255102070188,1591821.91841539,32050104.7104
"35",2008-11-01,164.476644930219,1370849.15344028,24219211.7664
"36",2008-12-01,213.071546226737,1218861.65087335,34186759.6896
"37",2009-01-01,133.627835364344,1140097.5599018,69047451.648
"38",2009-02-01,141.710729927184,1169885.57995482,65103097.248
"39",2009-03-01,0.238369001097132,1329256.48667276,57333121.5744
"40",2009-04-01,0.00334455287879319,1371300.4919576,10960551.6072394
"41",2009-05-01,0.704816106008004,1629427.17483303,37561.855415616
"42",2009-06-01,30.571271893838,1703868.67888115,6421.2536832192
"43",2009-07-01,161.483528879636,2039276.82938386,13204750.0617467
"44",2009-08-01,840.310992102843,2287955.34171739,61918333.0030944
"45",2009-09-01,170.178229924595,1915958.27610141,186008429.376
"46",2009-10-01,444.301156866379,1692327.95410754,151697532.672
"47",2009-11-01,33.5163013231434,1436959.08501192,132296812.704
"48",2009-12-01,212.403877636338,1261151.03468244,139291046.496
"49",2010-01-01,0.236967818529726,1042222.12984912,77238193.9392
"50",2010-02-01,192.092985344117,1061728.56386434,51925530.9888
"51",2010-03-01,111.621052124618,1383228.75725969,61853100.4224
"52",2010-04-01,0.7216916082393,1354622.16354403,79916527.7568
"53",2010-05-01,0.198819317389952,1607178.43384161,5833521.22262112
"54",2010-06-01,0.0277182837017413,1520072.26711514,3552.020446464
"55",2010-07-01,11.5697553975671,1761164.13208992,163485.271488672
"56",2010-08-01,105.51664428926,2140025.8769219,104089.172910912
"57",2010-09-01,94.4798604073838,1824033.42645632,1016906.61056544
"58",2010-10-01,46.8211227285118,1600105.50377868,47349.218964096
"59",2010-11-01,78.8749219153884,1118439.13953684,300360.786326496
"60",2010-12-01,56.8682229364251,1006739.33114965,471219.07781088
"61",2011-01-01,53.8196205889693,1119590.90961147,261418.384831968
"62",2011-02-01,104.873266144249,1097656.90847913,281081.00768832
"63",2011-03-01,329.43081313702,1331539.57036698,2666904.0048
"64",2011-04-01,216.666002396778,1350252.27158273,68072501.16576
"65",2011-05-01,10.1183234308299,1500800.73413323,46511648.064
"66",2011-06-01,0.0775915949763306,1650193.60741335,4561333.23425472
"67",2011-07-01,53.2111352356031,2014158.81021141,1355432.60738592
"68",2011-08-01,12.7428792638189,1937464.88808467,473127.602121216
"69",2011-09-01,124.567465807699,1820936.59055879,699892.694510688
"70",2011-10-01,46.9588753214408,1469312.93184971,280764.621851616
"71",2011-11-01,70.7496312784019,996050.986276513,246333.749344704
"72",2011-12-01,85.7941881175312,1080686.75019799,383665.46811264
"73",2012-01-01,224.178642796766,1123425.00638644,4867548.7037184
"74",2012-02-01,319.132416305452,1119404.84518362,23283179.7408
"75",2012-03-01,503.45233262768,1373544.46991234,119927097.7632
"76",2012-04-01,234.955436784398,1443240.08950849,330161729.184
"77",2012-05-01,11.3535395765085,1553139.81672129,130763541.888
"78",2012-06-01,35.4201008419118,1751762.29816898,44580346.93728
"79",2012-07-01,146.766825185733,2054033.9574475,11062286.0647488
"80",2012-08-01,1063.13908838645,2285233.93389215,147008392.4736
"81",2012-09-01,138.194970383321,1913866.64501612,409670714.88
"82",2012-10-01,73.3571318482137,1635854.3117077,180097755.264
"83",2012-11-01,115.150120036096,1268350.53683616,114550981.5744
"84",2012-12-01,139.249081247621,1120541.76673712,72354909.9168
"85",2013-01-01,296.688270483193,1388964.61738807,72826108.992
"86",2013-02-01,112.589476433504,1066056.97449994,106398230.4
"87",2013-03-01,158.800136728038,1415461.33830841,216503794.08
"88",2013-04-01,0.845946556668785,1243808.27926081,132811527.744
"89",2013-05-01,12.5461058540419,1495222.02218744,22623422.5088928
"90",2013-06-01,0.548977514794633,1565086.00535865,4055471.77514976
"91",2013-07-01,2.66449715395129,1892295.47574614,19320.41776896
"92",2013-08-01,634.065104693694,2154800.5457444,5055323.54650848
"93",2013-09-01,88.5048124358311,1838213.90912042,170318187.648
"94",2013-10-01,98.3485627075303,1761143.07119461,88634843.136
"95",2013-11-01,374.941536654813,1166636.38895615,53760794.7744
"96",2013-12-01,194.941113842238,1215313.63229511,125543337.696
"97",2014-01-01,287.894376798992,1229158.82081169,209735199.072
"98",2014-02-01,256.878365749006,1238861.46553158,255245044.32
"99",2014-03-01,132.528628942509,1303970.51596869,184323480.768
"100",2014-04-01,57.1720932875781,1321147.89061721,138742942.8672
"101",2014-05-01,0.629952756839911,1553758.42207731,55397432.20032
"102",2014-06-01,2.68846399470861,1643879.76373955,15734264.2128
"103",2014-07-01,0.486667953784234,1942154.90067736,10922836.6983658
"104",2014-08-01,42.4770725254316,1965846.59398534,66916005.1557178
"105",2014-09-01,0.00586564125709025,1780258.97190321,82621810.4081731
"106",2014-10-01,535.797300103409,1745628.45605973,29283995.3624467
"107",2014-11-01,223.782009787376,1477988.80308145,95447376.864
"108",2014-12-01,210.735508225462,1161250.47820016,125832002.688
"109",2015-01-01,113.480197447014,1151252.00154165,133112554.848
"110",2015-02-01,149.819998802711,1089660.1469577,143349423.84
"111",2015-03-01,63.1665396727393,1270011.70937965,122933317.248
"112",2015-04-01,71.4992190989396,1286906.88566545,102179248.416
"113",2015-05-01,0.0110806778157217,1536031.65600654,17162542.181232
"114",2015-06-01,0.0641661147894658,1610766.67311583,589409.585035488
"115",2015-07-01,1.80599155648992,1846077.20855464,1367.679938688
"116",2015-08-01,51.5094258173508,2003859.07949292,4390.2737424
"117",2015-09-01,331.869671137426,1939096.13924316,22976609.6892528
"118",2015-10-01,315.303135169365,1720354.72272159,5943191.1519456
